c,invest,y,k,h,z,g,productivity
1.5314436206535782,5.434118063371118,7.614869516342872,9.733757485455541,1.1774532544593865,3.7813736562942077,0.6493078323181766,13.464599053370947
1.6090510113741419,5.262047833673686,7.7780555739992465,14.75246138199284,1.1801468220013676,3.7570172233202115,0.9069567289514191,13.924225828574606
1.7439101096402443,5.334150360564107,8.223067447770642,19.717800208007127,1.2138842186109804,3.909989285414269,1.1450069775662923,14.884365546312939
2.046099489161988,5.649531705470956,8.7342456523176,24.874386908277906,1.2020115640060804,4.205639356167354,1.0386144576846563,16.54983119267255
1.8111341197886335,3.785230152877741,6.478195937281378,28.037757388448703,0.876729579488996,2.8563586101098517,0.8818316646150015,13.396272850570167
1.9613650287571895,3.877488874026126,6.699231262242269,31.214302327763612,0.8648710883701707,2.9682166100997818,0.860377359458953,14.1911524710154
1.559537726792733,2.250471102782246,5.006179882046085,32.684415872351764,0.6982769454067517,1.8265309302693433,1.1961710524711047,10.963221840035818
2.1307806646091407,3.189422495552924,5.632146376179533,35.056727971095896,0.6145785451878174,2.45242211589457,0.3119432160174677,13.771192712977033
1.7179334818821177,1.5847106548199683,3.906137771686298,35.76502042663847,0.4458406930006511,1.3110231751307704,0.6034936349842104,10.468211684225427
1.6423892018888924,1.6681719257232293,4.31324263512389,36.539066841695735,0.5450804671981908,1.430070022787843,1.002681507511767,10.586756394308306
2.1724347774224926,3.210989874718872,6.049829175528808,38.836580045372216,0.6754358728215473,2.5642824506250825,0.6664045233874425,14.347983749010186
2.4606185289515685,3.737927704926178,6.653039215519628,41.60359324916409,0.6849417167840457,2.9692683053301074,0.4544929816418799,16.05198325370996
2.4504908159908307,3.3093384206493925,6.229992649047364,43.87284183858438,0.6122819798846848,2.68747645875481,0.47016341240713827,15.590251370422909
2.1777443618868677,2.1146281899313064,4.929446854564737,44.89064898255107,0.47196124904135417,1.8390384839863487,0.6370743027465608,13.24788270556213
2.069991397306226,1.4980059643578083,4.166034299941912,45.2663887223451,0.3715996424337373,1.3844925485958732,0.5980369382778749,12.072880921594567
1.4334933570966863,-0.8596878360948438,1.3168019069454586,43.27504116819163,0.07757962357023185,-0.3693279371613649,0.7429963859436131,6.792386067571171
2.023484422236759,0.9544017815124254,3.078230481852671,43.14756692049926,0.19180023970684623,0.8946010460805465,0.1003442781034849,10.8074321532945
2.369880045738402,2.301267274753118,4.754819636149604,44.370145022239896,0.3744857957463419,1.9053757756918368,0.08367231565808095,13.807165485390183
2.4003577932264757,2.3749361806146574,4.971081489633859,45.635827577298556,0.40293264207706914,1.991156352469295,0.19578751579272374,14.13984467040309
2.2933630375656926,1.9129646939675369,4.519008314969747,46.40789658183364,0.358346121127917,1.6746361004588828,0.31268058343651467,13.279078433810344
1.7842558374488904,-0.04256045097360028,2.170186370537363,45.205138716314195,0.11060145835222326,0.22599325385390134,0.42849098406207,8.985595004049541
1.7380224990044173,-0.33964908853582,1.5829074136284174,43.735361159870514,0.02079383222565223,-0.0430331396138901,0.18453400315981724,8.221716320029108
1.9766427901748478,0.32336611160645634,2.0849139058401978,42.9653432424802,0.029121946497002615,0.3893475985351409,-0.21509499594110854,9.635192321512267
1.2060655389037347,-2.4112700548955517,-1.29528418314889,39.47993960652265,-0.31437375557383423,-1.6669477069301581,-0.09007966715707633,3.3115829005416737
1.025639585507431,-2.877047928119574,-2.1714117393704826,35.61589318824001,-0.4100411836670584,-2.0937746680467795,-0.32000339675834283,1.7462735719095637
0.532798435296568,-3.992481430539298,-3.5868213966332645,30.733014427994704,-0.4953791060060982,-2.966446433637492,-0.12713840139053711,-1.5516653502705875
0.028198378589430084,-4.824338630722533,-4.582083914683641,25.1403504365723,-0.5010557352073994,-3.6228168468539566,0.2140563374494609,-4.474373199182083
-0.5576624219263766,-5.975404367314388,-6.066954497354909,18.536437308343604,-0.5669204405690365,-4.539992115903759,0.46611229188585296,-8.197084720393175
-0.5568834163475405,-4.948279600429901,-4.997537279194251,13.124746775205113,-0.37471157460699894,-3.8551449803694964,0.5076257375831889,-7.124691896808609
-0.4777761622576686,-3.3661185306324164,-2.9418971455247753,9.430509575192568,-0.03192450033461547,-2.69453783437085,0.9019975473653088,-4.766881944673849
